SVI Theme: Socioeconomic Status; Below Poverty (Percentile); NaturalBreaks,,,,,
Data downloaded on 30-October-2023,,,,,
Year,County_FIPS,County,State,Obesity Percentage,Below Poverty
2018,56039,Teton County,Wyoming,10.5,0.0522
2018,8013,Boulder County,Colorado,13.6,0.343
2018,8107,Routt County,Colorado,13.7,0.2312
2018,8051,Gunnison County,Colorado,13.8,0.3908
2018,8097,Pitkin County,Colorado,14.2,0.0567
2018,49043,Summit County,Utah,14.2,0.0382
2018,8015,Chaffee County,Colorado,14.4,0.1949
2018,35055,Taos County,New Mexico,14.6,0.7624
2018,8117,Summit County,Colorado,15.2,0.1949
2018,6075,San Francisco County,California,15.4,0.2427
2018,13293,Upson County,Georgia,15.4,0.8596
2018,51133,Northumberland County,Virginia,15.6,0.4344
2018,6057,Nevada County,California,15.7,0.2704
2018,16013,Blaine County,Idaho,15.7,0.443
2018,8049,Grand County,Colorado,16.2,0.2659
2018,6041,Marin County,California,16.5,0.0672
2018,8037,Eagle County,Colorado,16.6,0.0497
2018,13319,Wilkinson County,Georgia,16.6,0.9191
2018,17159,Richland County,Illinois,16.7,0.5127
2018,6043,Mariposa County,California,17.1,0.443
2018,8091,Ouray County,Colorado,17.1,0.1812
2018,8103,Rio Blanco County,Colorado,17.1,0.2803
2018,36061,New York County,New York,17.1,0.6258
2018,37033,Caswell County,North Carolina,17.1,0.7723
2018,48275,Knox County,Texas,17.1,0.4936
2018,51595,Emporia City,Virginia,17.1,0.964
2018,2195,Petersburg Borough,Alaska,17.2,0.0882
2018,8113,San Miguel County,Colorado,17.2,0.1261
2018,28055,Issaquena County,Mississippi,17.2,0.9968
2018,40059,Harper County,Oklahoma,17.2,0.2175
2018,48145,Falls County,Texas,17.2,0.9261
2018,17087,Johnson County,Illinois,17.3,0.3
2018,17139,Moultrie County,Illinois,17.3,0.1392
2018,46129,Walworth County,South Dakota,17.3,0.1854
2018,48335,Mitchell County,Texas,17.3,0.1341
2018,48341,Moore County,Texas,17.3,0.5401
2018,6087,Santa Cruz County,California,17.4,0.4653
2018,8079,Mineral County,Colorado,17.4,0.3127
2018,13307,Webster County,Georgia,17.4,0.9248
2018,51013,Arlington County,Virginia,17.4,0.0567
2018,17009,Brown County,Illinois,17.5,0.1854
2018,48205,Hartley County,Texas,17.5,0.0357
2018,48299,Llano County,Texas,17.5,0.2854
2018,48383,Reagan County,Texas,17.5,0.5006
2018,13259,Stewart County,Georgia,17.6,0.9914
2018,13265,Taliaferro County,Georgia,17.6,0.9561
2018,15005,Kalawao County,Hawaii,17.6,0.2239
2018,17003,Alexander County,Illinois,17.6,0.972
2018,17145,Perry County,Illinois,17.6,0.6032
2018,17155,Putnam County,Illinois,17.6,0.121
2018,41055,Sherman County,Oregon,17.6,0.3838
2018,48031,Blanco County,Texas,17.6,0.1551
2018,48169,Garza County,Texas,17.6,0.6914
2018,48297,Live Oak County,Texas,17.6,0.6032
2018,48345,Motley County,Texas,17.6,0.1634
2018,49055,Wayne County,Utah,17.6,0.1048
2018,17171,Scott County,Illinois,17.7,0.3736
2018,22107,Tensas Parish,Louisiana,17.7,0.9955
2018,28125,Sharkey County,Mississippi,17.7,0.9315
