Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
191500504,1/1/19,1315,15,N Hollywood,1502,24,M,H,,,M,113.64H&S,,SATICOY                      ST,BELLAIRE                     AV
191404179,1/1/19,1105,14,Pacific,1413,25,F,W,,,I,63.44(I)(9),,ROSE,MACHADO                      DR
191404178,1/1/19,1500,14,Pacific,1435,35,M,W,,,I,63.44(I)(9),,VENICE,TULLER                       AV
191404182,1/1/19,1640,14,Pacific,1412,23,F,W,,,I,63.44(I)(9),,OCEAN FRONT                  WK,PALOMA
190204037,1/1/19,250,2,Rampart,241,37,M,H,,,M,11364AHS,,300 S  LA FAYETTE PARK              PL,
191404177,1/1/19,1500,14,Pacific,1435,35,M,W,,,I,63.44)(I)(9,,VENICE,TULLER                       AV
190204105,1/1/19,1200,2,Rampart,245,48,M,H,,,M,4127CLAMC,,8TH                          ST,ALVARADO
191504031,1/1/19,1500,15,N Hollywood,1526,44,M,W,,,I,113.64H&S,,LANKERSHIM                   BL,ERWIN                        ST
191704426,1/1/19,1230,17,Devonshire,1779,35,F,H,,,M,57.5608 LAM,,16100    PLUMMER                      ST,
190104071,1/1/19,1135,1,Central,176,64,M,H,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,9TH                          ST,SAN PEDRO
190104072,1/1/19,1050,1,Central,157,61,M,W,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,6TH                          ST,CROCKER
190104074,1/1/19,947,1,Central,176,53,M,B,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,7TH                          ST,SAN JULIAN
190304027,1/1/19,30,3,Southwest,395,21,M,H,24,Miscellaneous Other Violations,M,12677HS,POSSESS DANGEROUS FIREWORKS W/O PERMIT,DENKER,VERNON
190504111,1/1/19,1910,5,Harbor,506,56,M,H,18,Drunkeness,M,41.27DLAMC,POSS ALCH BEV ON POSTED PREM,1500 W  CARSON                       ST,
190504112,1/1/19,1910,5,Harbor,506,51,M,H,18,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,1500 W  CARSON                       ST,
190600507,1/1/19,1600,6,Hollywood,644,40,M,W,16,Narcotic Drug Laws,M,11364HS,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,SYCAMORE,SUNSET
190600531,1/1/19,205,6,Hollywood,637,42,M,W,24,Miscellaneous Other Violations,M,308(B)PC,MINOR BUY/ETC TOBACCO/ETC,1700    VINE                         ST,
190600823,1/1/19,1340,6,Hollywood,647,31,M,H,24,Miscellaneous Other Violations,M,42.00CLAMC,STREET-SOLICITING EMPLY OF SERVICES,6200    HOLLYWOOD                    BL,
190605908,1/1/19,100,6,Hollywood,626,26,F,W,17,Liquor Laws,M,23300BP,SELL LIQUOR W/O LICENSE,2000 N  IVAR                         AV,
190904019,1/1/19,830,9,Van Nuys,964,49,F,H,24,Miscellaneous Other Violations,M,63.44BLAMC,PARK REGULATIONS,HAZELTINE                    AV,HUSTON                       ST
191004024,1/1/19,1520,10,West Valley,1039,14,M,H,6,Larceny,M,459.5PC,SHOPLIFTING,16100    VICTORY                      BL,
191004025,1/1/19,1520,10,West Valley,1039,17,M,H,6,Larceny,M,459.5PC,SHOPLIFTING,16100    VICTORY                      BL,
191104044,1/1/19,1030,11,Northeast,1113,56,M,W,16,Narcotic Drug Laws,M,11377(A)HS,POSSESSION CONTROLLED SUBSTANCE,YOSEMITE,ELLENWOOD
191104046,1/1/19,1130,11,Northeast,1169,37,M,H,16,Narcotic Drug Laws,M,11364(A)HS,POSS DEVICE/INSTRUMT/PARAPHERNALIA,AVENUE 50,ECHO
191104049,1/1/19,1100,11,Northeast,1177,51,M,W,16,Narcotic Drug Laws,M,11364HS,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,HURON,AVENUE 26
191104074,1/1/19,2142,11,Northeast,1113,43,M,H,20,Disorderly Conduct,M,647(E)PC,LOITER/REFUSE TO IDENTIFY SELF,EAGLE ROCK                   BL,COLORADO
191104075,1/1/19,2142,11,Northeast,1113,28,M,W,20,Disorderly Conduct,M,647(E)PC,LOITER/REFUSE TO IDENTIFY SELF,EAGLE ROCK                   BL,COLORADO
191204084,1/1/19,2300,12,77th Street,1239,29,F,B,16,Narcotic Drug Laws,M,11364.1AHS,POSS OPIUM PIPE/DRUG PARPHERNALIA,FIGUEROA                     ST,SLAUSON                      AV
191304060,1/1/19,1510,13,Newton,1309,38,M,H,18,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,9TH                          ST,SAN PEDRO
191304061,1/1/19,1025,13,Newton,1309,67,M,H,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,8TH                          ST,SAN PEDRO
191404180,1/1/19,1535,14,Pacific,1431,22,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,18TH,OCEAN FRONT                  WK
191404181,1/1/19,1530,14,Pacific,1412,36,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC***,PARK,SPEEDWAY
192004401,1/1/19,300,20,Olympic,2074,15,M,H,24,Miscellaneous Other Violations,M,45.03LAMC,CURFEW - JUV ONLY,WASHINGTON,LA SALLE
192104064,1/1/19,1540,21,Topanga,2156,39,F,W,6,Larceny,M,488PC,PETTY THEFT,6700    TOPANGA CANYON               BL,
5510323,1/1/19,1920,3,Southwest,354,32,F,B,8,Other Assaults,F,422(A)PC,TERRORIZE CAUSING FEAR,2400    RODEO                        RD,
5510129,1/1/19,1150,11,Northeast,1139,62,M,H,16,Narcotic Drug Laws,F,11378HS,POSSESSION CONTROLLED SUBSTANCE FOR SALE,AVENUE 58,FIGUEROA
5510095,1/1/19,800,12,77th Street,1208,24,F,H,4,Aggravated Assault,F,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,700 W  46TH                         ST,
191404169,1/2/19,1315,14,Pacific,1412,30,M,W,,,I,41.27(C)LAM,,BROOKS,OCEAN FRONT                  WK
191404175,1/2/19,1100,14,Pacific,1413,31,F,B,,,I,41.18(A)LAM,,3RD,ROSE
190504116,1/2/19,1100,5,Harbor,566,51,M,H,,,M,11362.3HS,,8TH                          ST,PALOS VERDES                 ST
190204224,1/2/19,1510,2,Rampart,245,50,M,W,,,I,63.44B24LAM,,2200 W  6TH                          ST,
190204134,1/2/19,2330,2,Rampart,216,36,M,W,,,I,11364(A)HS,,2100    SANTA YNEZ                   ST,
191404170,1/2/19,2345,14,Pacific,1412,23,F,W,,,I,63.44I9LAMC,,PALOMA,OCEAN FRONT                  WK
191404173,1/2/19,717,14,Pacific,1412,34,F,W,,,I,63.44(I)(9),,OZONE,OCEAN FRONT                  WK
190204226,1/2/19,1530,2,Rampart,245,37,M,H,,,I,63.44B24LAM,,2200 W  6TH                          ST,
190204211,1/2/19,1550,2,Rampart,245,35,M,H,,,I,41.27.2LAMC,,2200 W  6TH                          ST,
191404172,1/2/19,2350,14,Pacific,1412,33,M,H,,,I,63.44I9LAMC,,PALOMA,OCEAN FRONT                  WK
190504119,1/2/19,1130,5,Harbor,566,26,M,H,,,M,63.44D4LAMC,,8TH                          ST,BEACON                       ST
190404320,1/2/19,1530,4,Hollenbeck,421,68,M,H,,,M,25620(A)BP,,2400 N  BROADWAY,
190904338,1/2/19,645,9,Van Nuys,904,33,M,H,,,M,647(B)2(PC),,SEPULVEDA                    BL,VALERIO                      ST
190204225,1/2/19,1500,2,Rampart,265,59,M,B,,,I,41.27(C)LAM,,10TH,PARK VIEW
5510629,1/2/19,1030,9,Van Nuys,935,28,M,H,8,Other Assaults,M,242PC,BATTERY,14400    ERWIN                        ST,
5510984,1/2/19,1900,6,Hollywood,666,26,F,B,8,Other Assaults,M,242PC,BATTERY,1300 N  WILCOX                       AV,
190104190,1/2/19,1530,1,Central,158,52,M,B,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,CENTRAL                      AV,INDUSTRIAL                   ST
190204205,1/2/19,1540,2,Rampart,245,37,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,2200 W  6TH                          ST,
190204206,1/2/19,1725,2,Rampart,245,49,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,CARONDELET,WILSHIRE
190204208,1/2/19,1800,2,Rampart,248,42,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,3RD,COLUMBIA
190204209,1/2/19,1850,2,Rampart,245,26,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,2200 W  6TH                          ST,
190204210,1/2/19,1855,2,Rampart,245,23,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,2200 W  6TH                          ST,
190204212,1/2/19,1720,2,Rampart,245,33,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,CARONDELET,WILSHIRE
190304074,1/2/19,1100,3,Southwest,392,54,F,B,16,Narcotic Drug Laws,M,11350(A)HS,POSSESSION OF CONTROLLED SUBSTANCE,3RD                          AV,N  VERNON                       AV
190504114,1/2/19,1100,5,Harbor,566,24,F,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,8TH                          ST,BEACON                       ST
190504115,1/2/19,1100,5,Harbor,566,37,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,8TH                          ST,BEACON                       ST
190504118,1/2/19,1100,5,Harbor,566,43,M,H,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,8TH                          ST,BEACON                       ST
190504120,1/2/19,615,5,Harbor,555,56,M,H,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,800 W  MIRAFLORES                   AV,
190504124,1/2/19,1425,5,Harbor,509,38,M,H,18,Drunkeness,M,41.27DLAMC,POSS ALCH BEV ON POSTED PREM,228TH                        ST,WESTERN                      AV
190504125,1/2/19,1440,5,Harbor,507,25,M,H,18,Drunkeness,M,41.27DLAMC,POSS ALCH BEV ON POSTED PREM,228TH                        ST,WESTERN                      AV
190504126,1/2/19,1555,5,Harbor,584,19,M,H,24,Miscellaneous Other Violations,M,602.8(A)PC,ENTER LAND UNDER CULTIVATN W/O PERMISSION,800 S  PASEO DEL MAR,
190504127,1/2/19,1600,5,Harbor,584,20,M,W,24,Miscellaneous Other Violations,M,602.8(A)PC,ENTER LAND UNDER CULTIVATN W/O PERMISSION,800 S  PASEO DEL MAR,
190504128,1/2/19,1615,5,Harbor,584,20,F,H,24,Miscellaneous Other Violations,M,602.8(A)PC,ENTER LAND UNDER CULTIVATN W/O PERMISSION,800 S  PASEO DEL MAR,
190504129,1/2/19,1615,5,Harbor,584,20,F,H,24,Miscellaneous Other Violations,M,602.8(A)PC,ENTER LAND UNDER CULTIVATN W/O PERMISSION,800 S  PASEO DEL MAR,
190504130,1/2/19,1630,5,Harbor,584,18,F,W,24,Miscellaneous Other Violations,M,602.8(A)PC,ENTER LAND UNDER CULTIVATN W/O PERMISSION,800 S  PASEO DEL MAR,
190504131,1/2/19,1630,5,Harbor,584,22,M,H,24,Miscellaneous Other Violations,M,602.8(A)PC,ENTER LAND UNDER CULTIVATN W/O PERMISSION,800 S  PASEO DEL MAR,
190607495,1/2/19,2330,6,Hollywood,644,48,M,W,24,Miscellaneous Other Violations,M,602(O)PC,TRESPASS ON CLOSED LANDS,1400 N  VISTA                        ST,
190904049,1/2/19,910,9,Van Nuys,915,29,M,W,16,Narcotic Drug Laws,M,11364HS,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,VAN NUYS,HARTLAND
190904287,1/2/19,1230,9,Van Nuys,914,21,M,W,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,VOSE                         ST,BURNET                       AV
191104096,1/2/19,1125,11,Northeast,1172,39,F,W,16,Narcotic Drug Laws,M,11350(A)HS,POSSESSION OF CONTROLLED SUBSTANCE,BERKELEY,ALLESANDRO
191404166,1/2/19,1640,14,Pacific,1452,52,F,W,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,WASHINGTON,OCEAN FRONT                  WK
191404167,1/2/19,1425,14,Pacific,1412,27,M,W,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,PARK,OCEAN FRONT                  WK
191404168,1/2/19,1425,14,Pacific,1412,28,M,W,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,OCEAN FRONT                  WK,PARK
191804114,1/2/19,1930,18,Southeast,1804,57,M,B,16,Narcotic Drug Laws,M,11377HS,POSSESSION CONTROLLED SUBSTANCE,MANCHESTER                   AV,CENTRAL                      AV
191904103,1/2/19,2220,19,Mission,1918,40,M,H,16,Narcotic Drug Laws,M,11377HS,POSSESSION CONTROLLED SUBSTANCE,FOOTHILL                     BL,MACLAY
190904525,1/2/19,2050,9,Van Nuys,911,19,F,B,13,Prostitution/Allied,M,647(B)(1)PC,SOLICIT/ENGAGE IN ANY ACT OF PROSTITUTION,GAULT,SEPULVEDA
191404317,1/2/19,1925,14,Pacific,1488,21,F,H,13,Prostitution/Allied,M,647(B)(1)PC,SOLICIT/ENGAGE IN ANY ACT OF PROSTITUTION,9700    AIRPORT                      BL,
191404320,1/2/19,1925,14,Pacific,1488,21,F,H,13,Prostitution/Allied,M,647(B)(1)PC,SOLICIT/ENGAGE IN ANY ACT OF PROSTITUTION,9700    AIRPORT                      BL,
191504263,1/2/19,1715,15,N Hollywood,1546,48,M,W,,,I,41.18DLAMC,,RIVERSIDE,HOLLYWOOD                    FY
191504265,1/2/19,1710,15,N Hollywood,1546,40,F,H,,,I,41.18DLAMC,,RIVERSIDE,HOLLYWOOD                    FY
191504267,1/2/19,1730,15,N Hollywood,1546,53,F,W,,,I,41.18DLAMC,,RIVERSIDE                    DR,HOLLYWOOD                    FY
5510551,1/2/19,420,20,Olympic,2001,22,M,H,8,Other Assaults,M,243(A)PC,BATTERY ON PERSON,400 N  VAN NESS                     AV,
5510705,1/2/19,1030,13,Newton,1307,33,M,W,24,Miscellaneous Other Violations,O,3455(B)1PC,WARRANT-PETITION TO REVOKE COMMUNITY SUPVN,700    CERES                        AV,
5510717,1/2/19,920,13,Newton,1345,31,M,H,,,F,3454(C)PC,,42ND,ALEMEDA
191504137,1/3/19,1615,15,N Hollywood,1526,32,M,W,,,M,11377H&S,,ERWIN,BECK
190104556,1/3/19,1450,1,Central,153,46,M,W,,,M,640PC,,5TH,HILL                         ST
190504235,1/3/19,1500,5,Harbor,541,56,M,H,,,I,41.45CLAMC,,MIRAFLORES,GAFFEY
191504262,1/3/19,1700,15,N Hollywood,1505,35,M,H,,,I,41.27(C)LAM,,TROOST,COHASSET
190104557,1/3/19,1505,1,Central,153,60,M,H,,,M,640PC,,5TH,HILL                         ST
191404234,1/3/19,1031,14,Pacific,1414,32,M,W,,,M,56.11(Q)(M),,221ST,7TH                          AV
190204222,1/3/19,1745,2,Rampart,245,57,M,B,,,I,41.27(C)LAM,,7TH,CORONADO
191404230,1/3/19,1010,14,Pacific,1411,25,F,W,,,I,63.44(B)(24,,OCEAN FRONT                  WK,CLUB HOUSE
191404227,1/3/19,1006,14,Pacific,1411,25,M,W,,,I,63.44B24LAM,,CLUBHOUSE,OCEAN FRONT                  WK
5511603,1/3/19,1050,9,Van Nuys,948,33,F,H,8,Other Assaults,M,242PC,BATTERY,5600    WOODMAN                      AV,
190104268,1/3/19,2155,1,Central,162,41,F,W,6,Larceny,M,490.2PC,PETTY THEFT,700 W  7TH                          ST,
190104271,1/3/19,1150,1,Central,153,49,M,B,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,5TH,BROADWAY
190104558,1/3/19,1400,1,Central,128,31,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1ST,SAN PEDRO                    ST
190104560,1/3/19,1430,1,Central,123,56,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1ST,SAN PEDRO                    ST
190104561,1/3/19,1405,1,Central,123,29,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1ST                          ST,SAN PEDRO                    ST
190104563,1/3/19,1540,1,Central,123,44,M,H,24,Miscellaneous Other Violations,M,63.44LAMC,PARK REGULATIONS,1ST,SPRING                       ST
190104564,1/3/19,1540,1,Central,123,46,F,H,24,Miscellaneous Other Violations,M,63.44LAMC,PARK REGULATIONS,1ST,SPRING                       ST
190204345,1/3/19,1100,2,Rampart,205,37,M,H,24,Miscellaneous Other Violations,M,41.24ALAMC,TRESPASS ON PVT PROP W/SIGN POSTED,LA FAYETTE PARK,BENTON
190204651,1/3/19,1640,2,Rampart,245,54,M,B,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,
190204653,1/3/19,1420,2,Rampart,245,38,M,H,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,
190204654,1/3/19,1630,2,Rampart,245,59,F,B,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,
190204657,1/3/19,1600,2,Rampart,245,46,M,H,24,Miscellaneous Other Violations,M,63.44BLAMC,PARK REGULATIONS,2200 W  6TH                          ST,
190204658,1/3/19,1700,2,Rampart,245,23,M,H,24,Miscellaneous Other Violations,M,41.47.2LAMC,URINATING OR DEFECATING IN PUBLIC,2200 W  6TH                          ST,
190304594,1/3/19,2230,3,Southwest,325,26,M,H,18,Drunkeness,I,41.27CLAMC,DRINKING IN PUBLIC,DANA                         ST,VERMONT                      AV
190404172,1/3/19,1630,4,Hollenbeck,478,18,M,H,16,Narcotic Drug Laws,M,11364HS,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,FRESNO                       ST,ATLANTIC                     ST
190504207,1/3/19,1,5,Harbor,503,74,M,H,24,Miscellaneous Other Violations,M,555PC,ENTER/REMAIN ON POSTED PROPERTY,800 W  LOMITA                       BL,
